causa,nivel,justificacion_medica,cie10,confianza,frecuencia,pct_cobertura,origen
TRAUMATISMO SUPERFICIAL DE OTRAS PARTES DE LA CABEZA,1,Lesión menor de cuero cabelludo o cara. Curación ambulatoria simple,S00.8,alta,1706.0,0.0362,top_500
"TRASTORNO DE LA REFRACCIÓN, NO ESPECIFICADO",1,"Error refractivo (miopía, hipermetropía) con corrección ambulatoria. Lentes o cirugía refractiva electiva",H52.7,alta,1704.0,0.0362,top_500
"EXAMEN PSIQUIÁTRICO GENERAL, NO CLASIFICADO EN OTRA PARTE",1,Valoración psiquiátrica ambulatoria de rutina. Consulta externa,Z00.4,alta,1702.0,0.0361,top_500
USO EMERGENTE DE U07,1,Código temporal genérico para emergencias. Clasificación depende del diagnóstico específico,U07,baja,1696.0,0.036,top_500
PRURIGO DE BESNIER,1,Dermatitis atópica crónica con manejo ambulatorio. Antihistamínicos y corticoides tópicos,L20.0,alta,1695.0,0.036,top_500
"DIABETES MELLITUS TIPO 1, CON CETOACIDOSIS",3,Cetoacidosis diabética. Emergencia metabólica que requiere UCI. Insulina IV y corrección hidroelectrolítica,E10.1,alta,1691.0,0.0359,top_500
CARIES LIMITADA AL ESMALTE,1,Caries dental inicial con tratamiento odontológico ambulatorio. Obturación simple,K02.0,alta,1691.0,0.0359,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS SITIOS ESPECIFICADOS,3,Tumor de etiología incierta que requiere oncología especializada. Biopsia y estudio histopatológico complejo,D48.7,media,1680.0,0.0356,top_500
TUMOR MALIGNO DEL TESTÍCULO NO DESCENDIDO,3,Cáncer testicular que requiere urología oncológica. Orquiectomía y quimioterapia según estadificación,C62.0,alta,1679.0,0.0356,top_500
"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",1,Intoxicación alimentaria leve con manejo ambulatorio. Hidratación oral y sintomáticos,A05.9,alta,1676.0,0.0356,top_500
DEDO EN GATILLO,2,Tenosinovitis estenosante que requiere liberación quirúrgica. Procedimiento ambulatorio o estancia breve,M65.3,alta,1658.0,0.0352,top_500
CATARATA TRAUMÁTICA,2,Catarata postraumática que requiere facoemulsificación quirúrgica. Cirugía oftalmológica programada,H26.1,alta,1651.0,0.035,top_500
HIPERTROFIA DE LAS ADENOIDES,2,Hipertrofia adenoidea que requiere adenoidectomía. Cirugía otorrinolaringológica pediátrica 1 día,J35.2,alta,1649.0,0.035,top_500
"FISURA ANAL, NO ESPECIFICADA",1,Fisura anal con manejo conservador ambulatorio inicial. Analgésicos tópicos y laxantes,K60.2,alta,1641.0,0.0348,top_500
"TERMINACIÓN DEL EMBARAZO, FETO Y RECIÉN NACIDO",1,Código para productos de gestación interrumpida. Atención neonatal variable según circunstancias,P96.4,media,1639.0,0.0348,top_500
DIABETES MELLITUS INSULINODEPENDIENTE CON COMA,3,Coma diabético hiperosmolar o cetoacidótico. Requiere UCI metabólica. Terapia intensiva,E10.0,alta,1628.0,0.0345,top_500
BRONQUIOLITIS AGUDA DEBIDA A VIRUS SINCITIAL RESPIRATORIO,2,Bronquiolitis en lactantes que requiere hospitalización. Oxigenoterapia y vigilancia respiratoria 3-7 días,J21.0,alta,1622.0,0.0344,top_500
FRACTURA DE VÉRTEBRA LUMBAR,2,Fractura vertebral que requiere hospitalización ortopédica. Manejo del dolor y posible estabilización quirúrgica,S32.0,alta,1620.0,0.0344,top_500
"TRAUMATISMO SUPERFICIAL DE LA CABEZA, PARTE NO ESPECIFICADA",1,Lesión menor de cuero cabelludo. Curación ambulatoria simple sin complicaciones,S00.9,alta,1619.0,0.0344,top_500
PARTO POR CESÁREA CON HISTERECTOMÍA,3,Cesárea complicada con histerectomía obstétrica. Requiere UCI o cuidados intensivos. Hemorragia severa,O82.2,alta,1618.0,0.0343,top_500
URTICARIA ALÉRGICA,1,Reacción alérgica cutánea con manejo ambulatorio. Antihistamínicos y evitar alérgeno,L50.0,alta,1615.0,0.0343,top_500
FIBRILACIÓN Y ALETEO VENTRICULAR,3,Arritmia ventricular maligna que requiere UCI cardiológica. Desfibrilación urgente y antiarrítmicos IV,I49.0,alta,1613.0,0.0342,top_500
"BRONQUIOLITIS AGUDA, NO ESPECIFICADA",2,Bronquiolitis que requiere hospitalización pediátrica. Soporte respiratorio 3-5 días,J21.9,alta,1604.0,0.034,top_500
CONSOLIDACIÓN DEFECTUOSA DE FRACTURA,2,Complicación ortopédica que requiere osteotomía correctiva. Cirugía programada,M84.0,alta,1600.0,0.0339,top_500
"COXARTROSIS, NO ESPECIFICADA",2,Artrosis de cadera severa que puede requerir artroplastia total. Cirugía ortopédica mayor,M16.9,alta,1600.0,0.0339,top_500
EPILEPSIA,3,Trastorno convulsivo crónico que requiere neurología especializada. Manejo con antiepilépticos múltiples,G40.9,alta,1595.0,0.0338,top_500
OTROS TRASTORNOS DE DISCO CERVICAL,2,Hernia discal cervical que puede requerir cirugía descompresiva. Neurocirugía programada,M50.8,alta,1588.0,0.0337,top_500
"MIGRAÑA, NO ESPECIFICADA",1,Cefalea primaria con manejo ambulatorio. Triptanos y profilaxis neurológica,G43.9,alta,1583.0,0.0336,top_500
SÍNDROME DE LA ARTICULACIÓN CONDROCOSTAL [TIETZE],1,Condritis costal benigna con manejo ambulatorio. Antiinflamatorios y analgesia,M94.0,alta,1573.0,0.0334,top_500
"FARINGITIS AGUDA, NO ESPECIFICADA",1,Infección faríngea con manejo ambulatorio. Antibióticos orales si es bacteriana,J02.9,alta,1573.0,0.0334,top_500
SÍNDROME SECO [SJÖGREN],3,Enfermedad autoinmune que requiere reumatología de alta especialidad. Inmunosupresores y manejo multidisciplinario,M35.0,alta,1560.0,0.0331,top_500
TRASTORNO DE MENISCO DEBIDO A DESGARRO O LESIÓN ANTIGUA,2,Lesión meniscal que requiere artroscopía de rodilla. Cirugía ortopédica programada 1-2 días,M23.2,alta,1558.0,0.0331,top_500
EXAMEN GINECOLÓGICO (GENERAL) (DE RUTINA),1,Revisión ginecológica preventiva ambulatoria. Papanicolaou y exploración,Z01.4,alta,1549.0,0.0329,top_500
"OTROS TRAUMATISMOS DEL PIE Y DEL TOBILLO, ESPECIFICADOS",1,Traumatismos menores de pie/tobillo con manejo conservador ambulatorio,S99.8,media,1549.0,0.0329,top_500
DEFORMIDAD ADQUIRIDA DE LA NARIZ,2,Deformidad nasal que requiere rinoplastia. Cirugía otorrinolaringológica programada,M95.0,alta,1548.0,0.0328,top_500
HERNIA HIATAL CONGÉNITA,2,Hernia hiatal que puede requerir funduplicatura. Cirugía gastrointestinal programada,Q40.1,alta,1538.0,0.0326,top_500
"HIDROCELE, NO ESPECIFICADO",2,Hidrocele que requiere hidrocelectomía quirúrgica. Cirugía urológica ambulatoria o estancia breve,N43.3,alta,1535.0,0.0326,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ÚTERO,3,Tumor uterino que requiere oncología ginecológica. Biopsia y posible histerectomía según patología,D39.0,alta,1531.0,0.0325,top_500
CISTOCELE,2,Prolapso vesical que requiere colporrafia quirúrgica. Cirugía ginecológica programada,N81.1,alta,1529.0,0.0324,top_500
"INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA",1,Infección viral de vías respiratorias altas. Manejo sintomático ambulatorio,J06.9,alta,1522.0,0.0323,top_500
TUMOR MALIGNO DEL COLON SIGMOIDE,3,Cáncer de colon sigmoides que requiere oncología de alta especialidad. Sigmoidectomía y quimioterapia,C18.7,alta,1520.0,0.0322,top_500
"ISQUEMIA CEREBRAL TRANSITORIA, SIN OTRA ESPECIFICACIÓN",3,Ataque isquémico transitorio que requiere neurología vascular urgente. Estudio etiológico y antiagregación,G45.9,alta,1515.0,0.0321,top_500
ABSCESO ISQUIORRECTAL,2,Absceso perianal que requiere drenaje quirúrgico urgente. Cirugía proctológica 1-2 días,K61.3,alta,1510.0,0.032,top_500
"CEFALEA VASCULAR, NCOP",1,Cefalea vascular con manejo ambulatorio. Analgésicos y seguimiento neurológico,G44.1,alta,1500.0,0.0318,top_500
HEMORROIDES TROMBOSADAS NO ESPECIFICADAS,2,Hemorroides complicadas con trombosis que pueden requerir hemorroidectomía urgente,K64.5,alta,1497.0,0.0318,top_500
SÍNDROME MUCOCUTÁNEO LINFONODULAR [KAWASAKI],3,Enfermedad de Kawasaki que requiere UCI pediátrica. Inmunoglobulina IV urgente para prevenir aneurismas coronarios,M30.3,alta,1496.0,0.0317,top_500
PANCREATITIS AGUDA,3,Inflamación pancreática aguda que requiere UCI o medicina interna. Soporte hemodinámico y nutricional,K85.9,alta,1490.0,0.0316,top_500
LINFOMA DE HODGKIN CON PREDOMINIO LINFOCÍTICO NODULAR,3,Linfoma que requiere hematología-oncología de alta especialidad. Quimioterapia y posible radioterapia,C81.0,alta,1490.0,0.0316,top_500
"INFLUENZA CON NEUMONÍA, DEBIDA A OTRO VIRUS DE LA INFLUENZA ESTACIONAL IDENTIFICADO",2,Neumonía por influenza que requiere hospitalización. Antivirales y soporte respiratorio 5-7 días,J10.0,alta,1489.0,0.0316,top_500
"LUXACIÓN DEL CODO, NO ESPECIFICADA",2,Luxación de codo que requiere reducción ortopédica bajo sedación. Hospitalización breve 1-2 días,S53.1,alta,1488.0,0.0316,top_500
OTRAS SINOVITIS Y TENOSINOVITIS,1,Inflamación articular/tendinosa con manejo ambulatorio. Antiinflamatorios y fisioterapia,M65.8,alta,1488.0,0.0316,top_500
ENFERMEDAD NO ESPECIFICADA DE LOS TEJIDOS DENTALES DUROS,1,Patología dental inespecífica con tratamiento odontológico ambulatorio,K03.9,media,1480.0,0.0314,top_500
CALACIO [CHALAZIÓN],1,Quiste meibomiano benigno. Drenaje ambulatorio o resolución espontánea,H00.1,alta,1475.0,0.0313,top_500
SINDROME DEL COLON IRRITABLE,1,Trastorno funcional intestinal con manejo ambulatorio. Dieta y moduladores intestinales,K58.9,alta,1469.0,0.0312,top_500
HERIDA DEL PÁRPADO Y DE LA REGIÓN PERIOCULAR,2,Herida palpebral que puede requerir sutura quirúrgica oftalmológica. Riesgo de lesión ocular,S01.1,alta,1469.0,0.0312,top_500
"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LÓBULOS Y VENTRÍCULOS",3,"Neoplasia maligna del SNC que requiere manejo oncológico especializado, cirugía neuroquirúrgica compleja, quimioterapia y/o radioterapia",C71,alta,1455.0,0.0309,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ESTÓMAGO,3,"Requiere estudios histopatológicos avanzados, seguimiento oncológico y potencial manejo quirúrgico especializado",D37.1,alta,1452.0,0.0308,top_500
GLAUCOMA PRIMARIO DE ÁNGULO ABIERTO,1,Patología oftalmológica crónica manejada ambulatoriamente con medicación tópica y seguimiento periódico,H40.1,alta,1444.0,0.0306,top_500
OTRAS OBSTRUCCIONES INTESTINALES Y LAS NO ESPECIFICADAS,2,"Requiere hospitalización para manejo médico-quirúrgico, estudios de imagen, posible resolución quirúrgica",K56.6,alta,1443.0,0.0306,top_500
OTROS HIPOTIROIDISMOS ESPECIFICADOS,1,Trastorno endocrino crónico manejado ambulatoriamente con terapia de sustitución hormonal y laboratorios de control,E03.8,alta,1443.0,0.0306,top_500
VERRUGAS (VENÉREAS) ANOGENITALES,1,Infección por VPH manejada ambulatoriamente con tratamientos tópicos o procedimientos menores,A63.0,alta,1437.0,0.0305,top_500
"HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO ESPECIFICADA",2,"Puede requerir hospitalización para diagnóstico, manejo médico o procedimientos como legrado",N93.9,media,1435.0,0.0304,top_500
"TESTÍCULO NO DESCENDIDO, BILATERAL",2,Malformación congénita que requiere corrección quirúrgica programada (orquidopexia bilateral),Q53.2,alta,1432.0,0.0304,top_500
TENOSINOVITIS DE ESTILOIDES RADIAL [DE QUERVAIN],1,"Patología musculoesquelética manejada ambulatoriamente con antiinflamatorios, terapia física o infiltración",M65.4,alta,1427.0,0.0303,top_500
OTRAS COXARTROSIS PRIMARIAS,2,Degeneración articular que puede requerir cirugía de reemplazo articular (artroplastia de cadera),M16.1,alta,1426.0,0.0303,top_500
HERIDA DEL LABIO Y DE LA CAVIDAD BUCAL,1,Traumatismo menor generalmente manejado ambulatoriamente con sutura y antibióticos,S01.5,alta,1416.0,0.03,top_500
TUMOR MALIGNO DEL ENDOMETRIO,3,"Cáncer ginecológico que requiere cirugía oncológica, estadificación, quimioterapia y/o radioterapia",C54.1,alta,1413.0,0.03,top_500
"HERIDA DE LA CABEZA, PARTE NO ESPECIFICADA",2,"Traumatismo craneal que requiere valoración hospitalaria, estudios de imagen y observación",S01.9,media,1407.0,0.0299,top_500
OTRAS ENDOMETRIOSIS,2,Patología ginecológica que puede requerir cirugía laparoscópica o manejo hospitalario,N80.8,alta,1401.0,0.0297,top_500
LARINGOFARINGITIS AGUDA,1,Infección respiratoria alta manejada ambulatoriamente con sintomáticos y antibióticos si necesario,J06.0,alta,1400.0,0.0297,top_500
"EMBARAZO ECTÓPICO, NO ESPECIFICADO",2,Emergencia ginecológica que requiere hospitalización y resolución quirúrgica urgente,O00.9,alta,1399.0,0.0297,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLÁNDULA HIPÓFISIS,3,Neoplasia del SNC que requiere manejo neuroquirúrgico especializado y evaluación endocrinológica compleja,D35.2,alta,1393.0,0.0296,top_500
HERIDA DE LA MEJILLA Y DE LA REGIÓN TEMPOROMANDIBULAR,1,Traumatismo facial menor generalmente manejado ambulatoriamente con sutura,S01.4,alta,1390.0,0.0295,top_500
"HERNIA ABDOMINAL NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",2,Patología quirúrgica que requiere corrección mediante herniorrafia programada,K46.9,alta,1390.0,0.0295,top_500
CORONAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,1,Dependiendo de severidad puede ser ambulatorio; se clasifica nivel 1 por ser código etiológico sin especificar gravedad,B97.2,media,1382.0,0.0293,top_500
"PERSONA QUE TEME ESTAR ENFERMA, A QUIEN NO SE HACE DIAGNÓSTICO",1,Consulta ambulatoria por ansiedad por salud sin patología objetiva,Z71.1,alta,1379.0,0.0293,top_500
TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION,1,Defectos refractivos manejados ambulatoriamente con corrección óptica,H52,alta,1379.0,0.0293,top_500
LUXACIÓN DE LA MUÑECA,2,"Lesión traumatológica que requiere reducción, puede necesitar hospitalización breve o cirugía",S63.0,alta,1379.0,0.0293,top_500
BOCIO MULTINODULAR NO TÓXICO,2,Patología tiroidea que puede requerir cirugía (tiroidectomía) según tamaño y sintomatología,E04.2,alta,1376.0,0.0292,top_500
FRACTURA DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO,2,"Fractura que requiere reducción, inmovilización y posible manejo quirúrgico hospitalario",S62.8,alta,1374.0,0.0292,top_500
FRACTURAS MÚLTIPLES DE LOS DEDOS DE LA MANO,2,Fracturas múltiples que requieren manejo traumatológico especializado y posible hospitalización,S62.6,alta,1372.0,0.0291,top_500
OTRAS EPILEPSIAS,2,Trastorno neurológico que puede requerir hospitalización para control de crisis o ajuste de tratamiento,G40.8,media,1361.0,0.0289,top_500
"ENDOMETRIOSIS, NO ESPECIFICADA",2,Patología ginecológica que puede requerir cirugía laparoscópica o manejo hospitalario,N80.9,alta,1357.0,0.0288,top_500
CELULITIS DE OTRAS PARTES DE LOS MIEMBROS,2,Infección de tejidos blandos que requiere antibióticos intravenosos y hospitalización,L03.1,alta,1355.0,0.0287,top_500
SÍNDROME ARTERIAL VÉRTEBRO-BASILAR,3,Patología cerebrovascular que requiere manejo en unidad vascular o neurología especializada,G45.0,alta,1353.0,0.0287,top_500
CARCINOMA IN SITU DE LA MAMA,2,Lesión premaligna que requiere cirugía oncológica y seguimiento estrecho,D05,alta,1345.0,0.0285,top_500
"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TOBILLO Y DEL PIE",2,Lesión traumatológica que puede requerir reducción quirúrgica y hospitalización breve,S93,alta,1343.0,0.0285,top_500
OBESIDAD DEBIDA A EXCESO DE CALORÍAS,1,"Condición crónica manejada ambulatoriamente con dieta, ejercicio y seguimiento médico",E66.0,alta,1339.0,0.0284,top_500
LUXACIÓN DE LA CABEZA DEL RADIO,2,Lesión traumatológica que requiere reducción en urgencias u hospitalización breve,S53.0,alta,1338.0,0.0284,top_500
"CÓLERA, NO ESPECIFICADO",3,Enfermedad infecciosa grave que requiere hospitalización para rehidratación intravenosa y aislamiento,A00.9,alta,1336.0,0.0283,top_500
HIPOTERMIA NO ASOCIADA CON BAJA TEMPERATURA DEL AMBIENTE,3,Emergencia médica que requiere hospitalización en UCI para manejo de temperatura y complicaciones,T68,alta,1324.0,0.0281,top_500
OTROS PRODUCTOS ANORMALES ESPECIFICADOS DE LA CONCEPCIÓN,2,Complicación obstétrica que requiere hospitalización y posible procedimiento quirúrgico,O02.8,alta,1313.0,0.0279,top_500
"CAÍDA EN O DESDE ESCALERA Y ESCALONES, VIVIENDA",2,Código de causa externa; implica traumatismo que generalmente requiere valoración hospitalaria,W10.0,media,1311.0,0.0278,top_500
ABSCESO DE LA GLÁNDULA DE BARTHOLIN,2,"Infección ginecológica que requiere drenaje quirúrgico y antibióticos, generalmente con hospitalización breve",N75.1,alta,1296.0,0.0275,top_500
HERIDA DE LA RODILLA,1,Traumatismo menor generalmente manejado ambulatoriamente con sutura,S81.0,alta,1294.0,0.0275,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TEJIDO CONJUNTIVO Y OTRO TEJIDO BLANDO,3,"Neoplasia que requiere estudios especializados, cirugía oncológica y seguimiento por oncología",D48.1,alta,1291.0,0.0274,top_500
"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMA",3,Emergencia endocrinológica que requiere manejo en UCI por descompensación aguda,E13.0,alta,1285.0,0.0273,top_500
NEURALGIA DEL TRIGÉMINO,1,Patología neurológica crónica manejada ambulatoriamente con medicación y seguimiento,G50.0,alta,1284.0,0.0272,top_500
"HEPATITIS AGUDA TIPO A, SIN COMA HEPÁTICO",2,Infección viral que requiere hospitalización para manejo de síntomas y monitoreo de función hepática,B15.9,alta,1274.0,0.027,top_500
"INFARTO CEREBRAL, NO ESPECIFICADO",3,Emergencia cerebrovascular que requiere hospitalización en UCI o unidad de ictus,I63.9,alta,1273.0,0.027,top_500
CONTUSIÓN DEL TÓRAX,1,Traumatismo menor generalmente manejado ambulatoriamente con analgésicos,S20.2,alta,1269.0,0.0269,top_500
"DIABETES MELLITUS TIPO 2, CON CETOACIDOSIS",3,Complicación aguda de diabetes que requiere manejo hospitalario en urgencias o UCI,E11.1,alta,1256.0,0.0266,top_500
OTROS TRASTORNOS ESPECIFICADOS DE LA MAMA,1,Patología mamaria benigna manejada ambulatoriamente con estudios de imagen y seguimiento,N64.8,media,1255.0,0.0266,top_500
FRACTURA A NIVEL DE LA MUÑECA Y DE LA MANO,2,"Fractura que requiere reducción, inmovilización y posible manejo quirúrgico hospitalario",S62.9,alta,1252.0,0.0266,top_500
"CARIES DENTAL, NO ESPECIFICADA",1,Patología dental manejada ambulatoriamente con tratamiento odontológico,K02.9,alta,1248.0,0.0265,top_500
"TRASTORNO DE LOS DISCOS INTERVERTEBRALES, NO ESPECIFICADO",2,Patología discal puede requerir neurocirugía/ortopedia especializada según severidad,M51.9,media,1246.0,0.0264,sample_1000
ACNÉ VULGAR,1,Acné común manejable ambulatoriamente con dermatología y tratamiento tópico/sistémico,L70.0,alta,1220.0,0.0259,sample_1000
"DISPLASIA DEL CUELLO DEL ÚTERO, NO ESPECIFICADA",2,"Displasia cervical requiere ginecología oncológica, colposcopía y posible conización",N87.9,alta,1212.0,0.0257,sample_1000
"HEMANGIOMA, DE CUALQUIER SITIO",1,Tumor vascular benigno manejable ambulatoriamente con seguimiento o escisión menor,D18.0,alta,1186.0,0.0252,sample_1000
"ANEURISMA CEREBRAL, SIN RUPTURA",3,Aneurisma intracraneal no roto requiere neurocirugía de alta especialidad y vigilancia,I67.1,alta,1155.0,0.0245,sample_1000
"ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH], SIN OTRA ESPECIFICACIÓN",3,"VIH/SIDA requiere infectología de alta especialidad, terapia antirretroviral y seguimiento inmunológico",B24,alta,1148.0,0.0244,sample_1000
"FRACTURA DEL PIE, NO ESPECIFICADA",2,"Fractura del pie requiere inmovilización, analgesia y seguimiento ortopédico",S92.9,alta,1131.0,0.024,sample_1000
OTRAS CATARATAS SENILES,2,Catarata senil requiere cirugía oftalmológica programada (facoemulsificación),H25.8,alta,1078.0,0.0229,sample_1000
"DISPLASIA CERVICAL SEVERA, NO CLASIFICADA EN OTRA PARTE",2,"Displasia cervical severa requiere ginecología oncológica, colposcopía y conización",N87.9,alta,1042.0,0.0221,sample_1000
OTITIS MEDIA AGUDA SEROSA,1,Otitis media con derrame manejable ambulatoriamente con antibióticos,H65.0,alta,1037.0,0.022,sample_1000
CONTUSIÓN DE DEDO(S) DE LA MANO CON DAÑO DE LA(S) UÑA(S),1,Contusión menor manejable ambulatoriamente con analgésicos y cuidados locales,S60.1,alta,1031.0,0.0219,sample_1000
OTRAS DEGENERACIONES ESPECIFICADAS DE DISCO INTERVERTEBRAL,2,Degeneración discal avanzada puede requerir neurocirugía/ortopedia especializada,M51.3,alta,1029.0,0.0218,sample_1000
LUXACIÓN DE DEDOS DE LA MANO,2,"Luxación articular requiere reducción cerrada, analgesia y seguimiento ortopédico",S63.1,alta,1014.0,0.0215,sample_1000
CONTUSIÓN DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL PIE,1,Contusión menor manejable ambulatoriamente con analgésicos y reposo,S90.3,alta,996.0,0.0211,sample_1000
TUMOR BENIGNO DE SITIO NO ESPECIFICADO,1,Tumor benigno sin localización requiere estudios ambulatorios para caracterización,D36.9,baja,990.0,0.021,sample_1000
TORSIÓN DEL TESTÍCULO,3,Emergencia urológica que requiere cirugía urgente inmediata para salvar testículo,N44,alta,973.0,0.0206,sample_1000
"OSTEOPOROSIS NO ESPECIFICADA, SIN FRACTURA PATOLÓGICA",1,Osteoporosis no complicada manejable ambulatoriamente con suplementación y bifosfonatos,M81.9,alta,948.0,0.0201,sample_1000
FRACTURA DE LOS HUESOS DEL DEDO GORDO DEL PIE,2,"Fractura de falange requiere inmovilización, analgesia y seguimiento ortopédico",S92.4,alta,918.0,0.0195,sample_1000
HIPERPROLACTINEMIA,1,Elevación de prolactina manejable ambulatoriamente con endocrinología y agonistas dopaminérgicos,E22.1,alta,869.0,0.0184,sample_1000
OTROS TRAUMATISMOS INTRACRANEALES,3,"Trauma craneoencefálico requiere neurocirugía, UCI y monitoreo neurológico intensivo",S06.8,alta,825.0,0.0175,sample_1000
HERNIA DIAFRAGMATICA,2,Hernia diafragmática requiere cirugía torácica/abdominal programada,K44.9,alta,821.0,0.0174,sample_1000
MIGRAÑA COMPLICADA,2,Migraña con aura o complicaciones requiere neurología especializada y posible hospitalización,G43.1,alta,816.0,0.0173,sample_1000
MIASTENIA GRAVIS,3,Enfermedad autoinmune neuromuscular requiere neurología de alta especialidad e inmunosupresores,G70.0,alta,814.0,0.0173,sample_1000
"ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA",3,"Evento vascular cerebral requiere neurología de alta especialidad, UCI y rehabilitación",I67.9,alta,813.0,0.0172,sample_1000
EXAMEN ODONTOLÓGICO,1,Consulta dental preventiva o diagnóstica ambulatoria,Z01.2,alta,804.0,0.0171,sample_1000
PÓLIPO DEL CUELLO DEL ÚTERO,1,Pólipo cervical manejable con polipectomía ginecológica ambulatoria,N84.1,alta,785.0,0.0167,sample_1000
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL MEDIASTINO,3,Tumor mediastinal de comportamiento incierto requiere oncología/cirugía torácica de alta especialidad,D38.3,alta,750.0,0.0159,sample_1000
EPICONDILITIS MEDIA,1,"Codo de golfista manejable ambulatoriamente con fisioterapia, antiinflamatorios e infiltraciones",M77.0,alta,714.0,0.0151,sample_1000
ABSCESO DEL HÍGADO,3,"Absceso hepático requiere gastroenterología/cirugía de alta especialidad, drenaje y antibióticos",K75.0,alta,711.0,0.0151,sample_1000
ESTADOS MENOPÁUSICOS Y CLIMATÉRICOS FEMENINOS,1,Síndrome climatérico manejable ambulatoriamente con terapia hormonal y seguimiento ginecológico,N95.1,alta,693.0,0.0147,sample_1000
TROMBOCITOPENIA NO ESPECIFICADA,2,Disminución de plaquetas requiere hematología especializada y estudios de coagulación,D69.6,alta,688.0,0.0146,sample_1000
"ABSCESO CUTÁNEO, FURÚNCULO Y ÁNTRAX DE GLÚTEOS",1,Infección cutánea superficial manejable ambulatoriamente con drenaje menor y antibióticos,L02.3,alta,678.0,0.0144,sample_1000
VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON ÚLCERA,2,Insuficiencia venosa con úlcera requiere cirugía vascular especializada y curaciones,I83.0,alta,672.0,0.0143,sample_1000
OTROS VÉRTIGOS PERIFÉRICOS,1,Vértigo periférico (no central) manejable ambulatoriamente con neurología/otorrinolaringología,H81.3,alta,636.0,0.0135,sample_1000
CONSULTA PARA ATENCION Y SUPERVISION DE LA SALUD D,1,Consulta preventiva de rutina manejable ambulatoriamente,Z00.0,media,634.0,0.0135,sample_1000
EPICONDILITIS LATERAL,1,"Codo de tenista manejable ambulatoriamente con fisioterapia, antiinflamatorios e infiltraciones",M77.1,alta,616.0,0.0131,sample_1000
FRACTURA DEL PULGAR,2,"Fractura de falange requiere inmovilización, analgesia y seguimiento ortopédico",S62.5,alta,609.0,0.0129,sample_1000
"PREECLAMPSIA, NO ESPECIFICADA",3,"Hipertensión del embarazo requiere hospitalización, monitoreo materno-fetal intensivo",O14.9,alta,600.0,0.0127,sample_1000
ENFERMEDADES CRONICAS DE LAS AMIGDALAS Y DE LAS ADENOIDES,1,"Amigdalitis crónica manejable ambulatoriamente, posible amigdalectomía programada",J35.0,alta,581.0,0.0123,sample_1000
PÓLIPO DE LAS CUERDAS VOCALES Y DE LA LARINGE,2,Pólipo laríngeo requiere cirugía otorrinolaringológica (microcirugía laríngea),J38.1,alta,567.0,0.012,sample_1000
EMBARAZO DOBLE,2,Embarazo gemelar requiere obstetricia de alto riesgo y seguimiento especializado,O30.0,alta,562.0,0.0119,sample_1000
OTROS TRASTORNOS ESPECIFICADOS DEL RIÑÓN Y DEL URÉTER,2,Patología renal/ureteral requiere evaluación urológica especializada,N28.8,media,553.0,0.0117,sample_1000
QUISTE PILONIDAL SIN ABSCESO,1,Quiste sacrococcígeo no complicado manejable con escisión ambulatoria programada,L05.9,alta,548.0,0.0116,sample_1000
"INSUFICIENCIA RENAL AGUDA, NO ESPECIFICADA",3,"Falla renal aguda requiere nefrología de alta especialidad, posible diálisis y UCI",N17.9,alta,545.0,0.0116,sample_1000
HERIDA DEL TOBILLO,2,"Herida profunda de tobillo requiere evaluación quirúrgica, sutura y valoración neurovascular",S91.0,alta,538.0,0.0114,sample_1000
OTRAS INFECCIONES AGUDAS DE SITIOS MÚLTIPLES DE LAS VÍAS RESPIRATORIAS SUPERIORES,1,Infección respiratoria alta múltiple manejable ambulatoriamente con sintomáticos,J06.8,alta,533.0,0.0113,sample_1000
"SINUSITIS AGUDA, NO ESPECIFICADA",1,Sinusitis aguda manejable ambulatoriamente con antibióticos y descongestionantes,J01.9,alta,527.0,0.0112,sample_1000
