causa,frecuencia,monto_total,pct_cobertura,pct_acumulado,rango
EDEMA PULMONAR,154,5089887.97,0.0033,95.5504,2083
DERMATITIS ALÉRGICA DE CONTACTO DEBIDA A METALES,154,1563910.61,0.0033,95.5537,2084
SESIÓN DE RADIOTERAPIA,154,15215233.82,0.0033,95.557,2085
"DISPLASIA MAMARIA BENIGNA, SIN OTRA ESPECIFICACIÓN",154,7254462.57,0.0033,95.5603,2086
TRAUMATISMO DEL TENDÓN Y MÚSCULO DE LA CABEZA LARGA DEL BÍCEPS,153,10452215.03,0.0032,95.5635,2087
"SÍNDROME NEFRÍTICO CRÓNICO, ANOMALÍA GLOMERULAR MÍNIMA",153,9688177.68,0.0032,95.5667,2088
"QUEMADURA DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO",153,4345753.34,0.0032,95.5699,2089
HEPATITIS VIRAL NO ESPECIFICADA SIN COMA HEPÁTICO,153,7069005.6,0.0032,95.5731,2090
"HEMATURIA, NO ESPECIFICADA",153,7108196.95,0.0032,95.5763,2091
EMBOLIA Y TROMBOSIS DE VENA CAVA,153,18943400.94,0.0032,95.5795,2092
OTROS TRASTORNOS ESPECIFICADOS DE LA GLÁNDULA PARATIROIDES,153,6566674.87,0.0032,95.5827,2093
TUMOR MALIGNO DEL CUERPO DEL PÁNCREAS,153,21175930.75,0.0032,95.5859,2094
"TRASTORNO DEL RIÑÓN Y DEL URÉTER, NO ESPECIFICADO",153,10479027.15,0.0032,95.5891,2095
HERPES ZOSTER SIN COMPLICACIONES,153,4916119.59,0.0032,95.5923,2096
ENFERMEDADES DE LOS VASOS CAPILARES,153,22974093.47,0.0032,95.5955,2097
"HERNIA INGUINAL BILATERAL, CON GANGRENA",153,9121819.0,0.0032,95.5987,2098
MESOTELIOMA DE LA PLEURA,153,43469856.2,0.0032,95.6019,2099
FIEBRE CON ESCALOFRÍO,153,5298956.04,0.0032,95.6051,2100
"HERNIA FEMORAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",152,9309883.54,0.0032,95.6083,2101
OTRAS ENFERMEDADES RENALES QUÍSTICAS,152,10547280.48,0.0032,95.6115,2102
LINFOMA DE HODGKIN CLÁSICO CON DEPLECIÓN LINFOCÍTICA,152,18269445.86,0.0032,95.6147,2103
TUMOR MALIGNO DE LA GLÁNDULA PARATIROIDES,151,12992574.17,0.0032,95.6179,2104
HIPERGLICERIDEMIA PURA,151,2808234.28,0.0032,95.6211,2105
"LUXACIÓN CONGÉNITA DE LA CADERA, BILATERAL",151,5590075.85,0.0032,95.6243,2106
SÍNDROME DEL CAYADO DE LA AORTA [TAKAYASU],151,12827546.39,0.0032,95.6275,2107
SÍNDROME DE INFARTO CEREBELOSO,151,6354439.5200000005,0.0032,95.6307,2108
HERNIA NO ESPECIFICADA DE LA CAVIDAD ABDOMINAL,151,9969342.719999999,0.0032,95.6339,2109
LEUCEMIA LINFOIDE,150,57897581.25,0.0032,95.6371,2110
POLIMIOSITIS,150,7873317.45,0.0032,95.6403,2111
ARTRITIS Y POLIARTRITIS ESTAFILOCÓCICA,150,13526649.08,0.0032,95.6435,2112
BOCIO DIFUSO (ENDÉMICO) RELACIONADO CON DEFICIENCIA DE YODO,150,1826022.3800000001,0.0032,95.6467,2113
OTRAS ENFERMEDADES VASCULARES PERIFÉRICAS ESPECIFICADAS,150,27785731.43,0.0032,95.6499,2114
QUERATOSIS SEBORREICA,150,1173636.28,0.0032,95.6531,2115
TUMOR MALIGNO DEL MEDIASTINO ANTERIOR,150,33242503.540000003,0.0032,95.6563,2116
OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE,150,1960255.27,0.0032,95.6595,2117
"DOLOR, NO ESPECIFICADO",150,6391249.9399999995,0.0032,95.6627,2118
TRAUMATISMO DE MÚLTIPLES TENDONES Y MÚSCULOS A NIVEL DEL PIE Y DEL TOBILLO,150,9969829.25,0.0032,95.6659,2119
TRASTORNOS VASCULARES DE LOS ÓRGANOS GENITALES MASCULINOS,150,5079644.0,0.0032,95.6691,2120
OTRAS UROPATÍAS OBSTRUCTIVAS Y POR REFLUJO,149,9309442.200000001,0.0032,95.6723,2121
INSUFICIENCIA HEPÁTICA AGUDA O SUBAGUDA,149,22643097.91,0.0032,95.6755,2122
OTRAS INFECCIONES ESPECIFICADAS PROPIAS DEL PERÍODO PERINATAL,149,18397041.21,0.0032,95.6787,2123
"TRAUMATISMO DEL OJO Y DE LA ÓRBITA, NO ESPECIFICADO",149,2789088.81,0.0032,95.6819,2124
OTROS BOCIOS NO TOXICOS,149,4257487.71,0.0032,95.6851,2125
DESHIDRATACIÓN DEL RECIÉN NACIDO,149,8815111.86,0.0032,95.6883,2126
OTRAS CONJUNTIVITIS,149,1003974.99,0.0032,95.6915,2127
"INFLUENZA CON OTRAS MANIFESTACIONES, VIRUS NO IDENTIFICADO",148,4711940.0,0.0031,95.6946,2128
"MALFORMACIÓN CONGÉNITA DEL CORAZÓN, NO ESPECIFICADA",148,19348822.34,0.0031,95.6977,2129
ANOMALÍAS GENÉTICAS DE LOS LEUCOCITOS,148,21206329.13,0.0031,95.7008,2130
ENCONDROMATOSIS,148,9588862.58,0.0031,95.7039,2131
ECZEMA HERPÉTICO,148,22021989.330000002,0.0031,95.707,2132
OTRAS DEFORMIDADES VARUS CONGÉNITAS DE LOS PIES,148,2622392.7,0.0031,95.7101,2133
TRASTORNOS DE LA GLÁNDULA TIROIDES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,148,2725111.43,0.0031,95.7132,2134
"TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO",148,6562986.08,0.0031,95.7163,2135
"ARTRITIS JUVENIL, NO ESPECIFICADA",148,5490884.59,0.0031,95.7194,2136
DISTROFIA MUSCULAR,147,11094332.99,0.0031,95.7225,2137
"ABORTO MÉDICO INCOMPLETO, SIN COMPLICACIÓN",147,2351030.34,0.0031,95.7256,2138
LESIÓN DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMÓN,147,19531970.47,0.0031,95.7287,2139
"TRASTORNO DE LA CONDUCCIÓN, NO ESPECIFICADO",147,13532323.24,0.0031,95.7318,2140
PRESENCIA DE LENTES INTRAOCULARES,147,2653687.14,0.0031,95.7349,2141
"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",147,6071615.6899999995,0.0031,95.738,2142
TRASTORNOS DEGENERATIVOS Y VASCULARES DEL OÍDO,147,2128128.05,0.0031,95.7411,2143
DERMATOSIS PURPÚRICA PIGMENTADA,147,12400034.49,0.0031,95.7442,2144
"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS",147,9854616.370000001,0.0031,95.7473,2145
INFARTO CEREBRAL DEBIDO A OCLUSIÓN O ESTENOSIS NO ESPECIFICADA DE ARTERIAS PRECEREBRALES,147,6920532.569999999,0.0031,95.7504,2146
"TRASTORNO DE ANSIEDAD, NO ESPECIFICADO",146,1197458.07,0.0031,95.7535,2147
OTRAS CARDIOMIOPATÍAS HIPERTRÓFICAS,146,13002385.87,0.0031,95.7566,2148
OTRAS DIFICULTADES RESPIRATORIAS DEL RECIÉN NACIDO,146,14970249.49,0.0031,95.7597,2149
"TRAUMATISMO DE TENDÓN Y MÚSCULO NO ESPECIFICADO, A NIVEL DEL HOMBRO Y DEL BRAZO",146,11853556.07,0.0031,95.7628,2150
OTRAS MONONUCLEOSIS INFECCIOSAS,146,11300940.14,0.0031,95.7659,2151
OTROS DEFECTOS OBSTRUCTIVOS DE LA PELVIS RENAL Y DEL URÉTER,146,7979026.93,0.0031,95.769,2152
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS GLANDULAS ENDOCRINAS,146,10038519.59,0.0031,95.7721,2153
MONONEUROPATIAS DEL MIEMBRO SUPERIOR,146,5075890.15,0.0031,95.7752,2154
TUMOR MALIGNO DEL EXOCÉRVIX,146,22116988.74,0.0031,95.7783,2155
OTRAS DEFORMIDADES CONGÉNITAS DE LA CADERA,145,8641305.11,0.0031,95.7814,2156
TRAUMATISMOS SUPERFICIALES MÚLTIPLES DE LA PIERNA,145,7048517.11,0.0031,95.7845,2157
"TRAUMATISMO SUPERFICIAL DE LA PIERNA, NO ESPECIFICADO",145,9903144.89,0.0031,95.7876,2158
MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA,145,19069906.14,0.0031,95.7907,2159
EMBOLIA Y TROMBOSIS DE OTRAS ARTERIAS,145,17199827.56,0.0031,95.7938,2160
OTROS TRASTORNOS ESPECIFICADOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,145,3246740.9099999997,0.0031,95.7969,2161
"POLINEUROPATÍA INFLAMATORIA, NO ESPECIFICADA",145,32796895.19,0.0031,95.8,2162
"HISTIOCITOSIS DE LAS CÉLULAS DE LANGERHANS, NO CLASIFICADA EN OTRA PARTE",145,13867790.78,0.0031,95.8031,2163
ISQUEMIA CEREBRAL NEONATAL,144,14251670.18,0.0031,95.8062,2164
HIPEROSMOLARIDAD E HIPERNATREMIA,144,3505994.81,0.0031,95.8093,2165
BRONQUIECTASIA,144,7012993.25,0.0031,95.8124,2166
"TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y OTROS TEJIDOS BLANDOS, DE SITIO NO ESPECIFICADO",144,3949574.72,0.0031,95.8155,2167
OTROS DOLORES EN EL PECHO,143,5422103.95,0.003,95.8185,2168
TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESÓFAGO,143,49503576.58,0.003,95.8215,2169
OTRAS FORMAS DE ESCLEROSIS SISTÉMICA,143,12586445.03,0.003,95.8245,2170
MOLA HIDATIFORME CLÁSICA,143,5103919.99,0.003,95.8275,2171
CARCINOMA IN SITU DEL ESÓFAGO,143,24108728.49,0.003,95.8305,2172
TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR,143,26393161.810000002,0.003,95.8335,2173
ASMA NO ALÉRGICA,143,3918645.37,0.003,95.8365,2174
FRACTURAS QUE AFECTAN OTRAS COMBINACIONES DE LAS REGIONES DEL CUERPO,143,15620450.27,0.003,95.8395,2175
"POLIARTROSIS, NO ESPECIFICADA",143,4645829.61,0.003,95.8425,2176
QUERATOCONJUNTIVITIS,142,1161556.52,0.003,95.8455,2177
FRACTURA DEL OMÓPLATO,142,9551563.14,0.003,95.8485,2178
ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIÉN NACIDO,142,13400081.56,0.003,95.8515,2179
"SEPSIS, NO ESPECIFICADA",142,21886691.8,0.003,95.8545,2180
LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO,142,18299240.509999998,0.003,95.8575,2181
PARALISIS CEREBRAL,142,3254461.83,0.003,95.8605,2182
SÍNDROME DE LA ARTERIA CEREBRAL MEDIA,142,5787021.95,0.003,95.8635,2183
EDEMA ANGIONEURÓTICO,141,12003220.17,0.003,95.8665,2184
"ÚLCERA PÉPTICA, DE SITIO NO ESPECIFICADO, AGUDA CON PERFORACIÓN",141,9226314.4,0.003,95.8695,2185
EMBOLIA Y TROMBOSIS DE ARTERIA NO ESPECIFICADA,141,22067241.29,0.003,95.8725,2186
"PÓLIPO DEL TRACTO GENITAL FEMENINO, NO ESPECIFICADO",141,4901302.6899999995,0.003,95.8755,2187
CONCUSIÓN Y EDEMA DE LA MÉDULA ESPINAL CERVICAL,141,13499052.25,0.003,95.8785,2188
OTRO SÍNDROME DE INTESTINO IRRITABLE Y EL NO ESPECIFICADO,140,992926.0700000001,0.003,95.8815,2189
CONJUNTIVITIS CRÓNICA,140,747168.08,0.003,95.8845,2190
HIPOTONÍA CONGÉNITA,140,9355261.67,0.003,95.8875,2191
"INFECCION DEBIDA A PAPOVAVIRUS, SIN OTRA ESPECIFICACION",140,3234742.8200000003,0.003,95.8905,2192
HEMORRAGIA SUBARACNOIDEA,140,31154320.509999998,0.003,95.8935,2193
TRAUMATISMO DE TENDÓN(ES) Y MÚSCULO(S) DEL GRUPO MUSCULAR PERONEO A NIVEL DE LA PIERNA,140,7092179.11,0.003,95.8965,2194
"OTRAS ENTESOPATÍAS DEL MIEMBRO INFERIOR, EXCLUIDO EL PIE",140,7124866.72,0.003,95.8995,2195
QUISTE TRICODÉRMICO,139,2988173.08,0.0029,95.9024,2196
LESIÓN DE SITIOS CONTIGUOS DEL PENE,139,5191295.99,0.0029,95.9053,2197
FIBROMATOSIS DE LA APONEUROSIS PALMAR [DUPUYTREN],139,3877988.25,0.0029,95.9082,2198
FÍSTULA VESICOVAGINAL,139,7663686.21,0.0029,95.9111,2199
TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DE LOS ÓRGANOS DIGESTIVOS,138,28151069.849999998,0.0029,95.914,2200
OTRAS CARDIOMIOPATÍAS,138,8150015.33,0.0029,95.9169,2201
"DISMINUCIÓN DE LA AGUDEZA VISUAL, SIN ESPECIFICACIÓN",138,1654570.58,0.0029,95.9198,2202
BLEFAROCALASIA,138,4038147.52,0.0029,95.9227,2203
TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN LA CABEZA CON EL CUELLO,138,5724985.12,0.0029,95.9256,2204
TRASTORNO DEL LIGAMENTO,138,9155542.76,0.0029,95.9285,2205
QUISTE RENAL SOLITARIO CONGÉNITO,138,8356121.2700000005,0.0029,95.9314,2206
ANGIÍTIS DEBIDA A HIPERSENSIBILIDAD,137,11723623.54,0.0029,95.9343,2207
TRASTORNO GENERALIZADO DEL DESARROLLO NO ESPECIFICADO,137,1383028.19,0.0029,95.9372,2208
TRASTORNOS DEL TRANSPORTE DE LOS AMINOÁCIDOS,137,3062433.31,0.0029,95.9401,2209
HERPES ZOSTER OCULAR,137,3263676.07,0.0029,95.943,2210
OTROS ESTRABISMOS,137,1519066.86,0.0029,95.9459,2211
OTRAS TIROTOXICOSIS,137,2026454.82,0.0029,95.9488,2212
OTROS TRASTORNOS ESPECIFICADOS DEL CARTÍLAGO,136,3886494.37,0.0029,95.9517,2213
HIPEREMESIS GRAVÍDICA LEVE,136,3120589.78,0.0029,95.9546,2214
"HIPOACUSIA NEUROSENSORIAL, SIN OTRA ESPECIFICACIÓN",136,3217814.45,0.0029,95.9575,2215
NEUMONÍA DEBIDA A MYCOPLASMA PNEUMONIAE,136,12300753.07,0.0029,95.9604,2216
OTRAS ANEMIAS ESPECIFICADAS,136,15324979.76,0.0029,95.9633,2217
OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CABEZA,136,6333926.73,0.0029,95.9662,2218
OTROS TRASTORNOS FUNCIONLES DEL INTESTINO,136,3845385.05,0.0029,95.9691,2219
FRACTURA DE LA COLUMNA LUMBAR Y DE LA PELVIS,136,21502595.21,0.0029,95.972,2220
"MALFORMACIONES CONGÉNITAS MÚLTIPLES, NO CLASIFICADAS EN OTRA PARTE",136,11177046.51,0.0029,95.9749,2221
OTROS TRASTORNOS ESPECIFICADOS DE LA URETRA,135,5347856.08,0.0029,95.9778,2222
OTRAS HEMORRAGIAS SUBARACNOIDEAS,135,34291048.03,0.0029,95.9807,2223
CONDUCTO ARTERIOSO PERMEABLE,135,19580166.12,0.0029,95.9836,2224
OTROS TIPOS DE OBESIDAD,135,8679037.97,0.0029,95.9865,2225
OTRAS ENCEFALITIS VIRALES ESPECIFCADAS,135,9488471.709999999,0.0029,95.9894,2226
"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",135,8505224.77,0.0029,95.9923,2227
"MALFORMACIÓN CONGÉNITA, NO ESPECIFICADA",135,11883647.7,0.0029,95.9952,2228
"ENFERMEDAD DEL ANO Y DEL RECTO, NO ESPECIFICADA",135,6200729.66,0.0029,95.9981,2229
"ESCLEROSIS SISTÉMICA, NO ESPECIFICADA",135,13239006.81,0.0029,96.001,2230
"ABSCESO CUTANEO, FURUNCULO Y ANTRAX",134,9936504.99,0.0028,96.0038,2231
OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,134,2727359.47,0.0028,96.0066,2232
EDEMA CEREBRAL TRAUMÁTICO,134,20617961.57,0.0028,96.0094,2233
OTROS TRASTORNOS Y LOS NO ESPECIFICADOS DEL SISTEMA CIRCULATORIO,134,6685947.88,0.0028,96.0122,2234
"DERMATITIS ALÉRGICA DE CONTACTO, DE CAUSA NO ESPECIFICADA",134,2544796.03,0.0028,96.015,2235
SINEQUIAS INTRAUTERINAS,134,4095744.6,0.0028,96.0178,2236
CAIDA NO ESPECIFICADA,134,6797562.05,0.0028,96.0206,2237
OTRAS TIROIDITIS CRÓNICAS,134,2574847.19,0.0028,96.0234,2238
"DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DEL PIE, NO ESPECIFICADAS",133,4921439.97,0.0028,96.0262,2239
"CARDIOMIOPATÍA, NO ESPECIFICADA",133,14939478.53,0.0028,96.029,2240
SEPSIS BACTERIANA DEL RECIEN NACIDO,133,16200764.65,0.0028,96.0318,2241
HERIDAS QUE AFECTAN LA CABEZA CON EL CUELLO,133,10721593.209999999,0.0028,96.0346,2242
DESPOLARIZACIÓN AURICULAR PREMATURA,133,4017030.69,0.0028,96.0374,2243
CONTUSIÓN DE LA MAMA,133,1361445.77,0.0028,96.0402,2244
"FRACTURA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",133,8400607.85,0.0028,96.043,2245
OTRAS ARTRITIS,133,5267854.4,0.0028,96.0458,2246
"OTROS TRAUMATISMOS DE LA COLUMNA VERTEBRAL Y DEL TRONCO, NIVEL NO ESPECIFICADO",133,10184362.35,0.0028,96.0486,2247
CONJUNTIVITIS ATÓPICA AGUDA,133,561027.2,0.0028,96.0514,2248
INFECCIÓN DE HERIDA QUIRÚRGICA OBSTÉTRICA,133,5790258.28,0.0028,96.0542,2249
ERISIPELA,133,9167433.65,0.0028,96.057,2250
"INSUFICIENCIA HEPÁTICA, NO ESPECIFICADA",132,17255623.47,0.0028,96.0598,2251
MENINGITIS POR HEMÓFILOS,132,15127766.77,0.0028,96.0626,2252
CICATRIZ HIPERTRÓFICA,132,4558924.5,0.0028,96.0654,2253
HERIDA DE OTRAS PARTES DEL ANTEBRAZO,132,3878344.75,0.0028,96.0682,2254
"ENFERMEDAD RENAL CRÓNICA, ETAPA 5",132,6717564.19,0.0028,96.071,2255
HIPERTENSIÓN SECUNDARIA A OTROS TRASTORNOS RENALES,131,11992293.610000001,0.0028,96.0738,2256
ABSCESO AMEBIANO DEL HÍGADO,131,12393305.67,0.0028,96.0766,2257
(OSTEO) ARTROSIS PRIMARIA GENERALIZADA,131,3043835.36,0.0028,96.0794,2258
URTICARIA IDIOPÁTICA,131,3744269.97,0.0028,96.0822,2259
TUMOR BENIGNO DE LOS NERVIOS CRANEALES,131,32199572.01,0.0028,96.085,2260
"OCUPANTE DE AUTOMÓVIL LESIONADO POR COLISIÓN CON OBJETO FIJO O ESTACIONADO, CONDUCTOR LESIONADO EN ACCIDENTE NO DE TRÁNSITO",131,13141676.59,0.0028,96.0878,2261
TRASTORNOS DE LAS VÁLVULAS MITRAL Y AÓRTICA,131,16135108.07,0.0028,96.0906,2262
TUMOR BENIGNO DE LA PIEL DEL LABIO,131,2133482.78,0.0028,96.0934,2263
CELULITIS Y ABSCESO DE BOCA,131,11892636.74,0.0028,96.0962,2264
MASTOIDITIS CRÓNICA,131,5624165.08,0.0028,96.099,2265
"INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES, DE SITIOS MULTIPLES O NO ESPECIFICADOS",130,3208635.86,0.0028,96.1018,2266
BRONQUITIS AGUDA DEBIDA A VIRUS PARAINFLUENZA,130,6103814.22,0.0028,96.1046,2267
"ANEMIA HEMOLÍTICA ADQUIRIDA, SIN OTRA ESPECIFICACIÓN",130,18106303.18,0.0028,96.1074,2268
HEPATITIS REACTIVA NO ESPECIFICADA,130,6474538.59,0.0028,96.1102,2269
TRAUMATISMO DE OTRO(S) TENDÓN(ES) Y MÚSCULO(S) DEL GRUPO MUSCULAR POSTERIOR A NIVEL DE LA PIERNA,130,2537753.28,0.0028,96.113,2270
NÁUSEA Y VÓMITO,130,1735601.09,0.0028,96.1158,2271
OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA NERVIOSO CENTRAL,130,6305811.27,0.0028,96.1186,2272
OTROS EXÁMENES PARA FINES ADMINISTRATIVOS,130,865837.16,0.0028,96.1214,2273
ACCIDENTE DE TRANSPORTE NO ESPECIFICADO,129,6306328.2299999995,0.0027,96.1241,2274
OTRAS ENFERMEDADES ESPECIFICADAS DE LA MÉDULA ESPINAL,129,17928998.21,0.0027,96.1268,2275
TUMOR BENIGNO DEL PÁNCREAS,129,17380465.69,0.0027,96.1295,2276
OTROS TRASTORNOS DE LA VEJIGA,129,4320227.78,0.0027,96.1322,2277
DISPLASIA FIBROSA (MONOSTÓTICA),129,3981862.07,0.0027,96.1349,2278
"TRASTORNO DE LA URETRA, NO ESPECIFICADO",129,3843335.73,0.0027,96.1376,2279
TUMOR MALIGNO DE LA VESÍCULA BILIAR,129,18927301.43,0.0027,96.1403,2280
FRACTURAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO,128,21695310.32,0.0027,96.143,2281
FRACTURA DE LA PRIMERA VÉRTEBRA CERVICAL,128,22705544.12,0.0027,96.1457,2282
OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA URINARIO,128,4224634.76,0.0027,96.1484,2283
ÚLCERA DEL INTESTINO,128,10641063.6,0.0027,96.1511,2284
AMBLIOPÍA EX ANOPSIA,128,552755.15,0.0027,96.1538,2285
ARTROPATÍA PSORIÁSICA INTERFALÁNGICA DISTAL,128,8340233.15,0.0027,96.1565,2286
"DISPARO DE OTRAS ARMAS DE FUEGO Y LAS NO ESPECIFICADAS, DE INTENCIÓN NO DETERMINADA, VIVIENDA",128,17696271.77,0.0027,96.1592,2287
TRAUMATISMO DE OTROS TENDONES Y MÚSCULOS A NIVEL DE LA PIERNA,128,4478975.76,0.0027,96.1619,2288
OTRAS ANORMALIDADES DE LA RESPIRACIÓN Y LAS NO ESPECIFICADAS,128,7885129.419999999,0.0027,96.1646,2289
PREECLAMPSIA EN EL EMBARAZO,128,5096367.87,0.0027,96.1673,2290
TROMBOCITOPENIA (HEMORRÁGICA) ESENCIAL,128,20953951.759999998,0.0027,96.17,2291
OTRAS MALFORMACIONES CONGÉNITAS DE LA VEJIGA Y DE LA URETRA,128,7054852.37,0.0027,96.1727,2292
"RUPTURA PREMATURA DE LAS MEMBRANAS, SIN OTRA ESPECIFICACIÓN",127,6468013.16,0.0027,96.1754,2293
TRAUMATISMO POR APLASTAMIENTO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO,127,6352555.7,0.0027,96.1781,2294
"TRAUMATISMO DEL TÓRAX, NO ESPECIFICADO",127,3810494.14,0.0027,96.1808,2295
PÓLIPO DEL ESTÓMAGO Y DEL DUODENO,127,4896149.32,0.0027,96.1835,2296
HERIDAS MÚLTIPLES DEL TOBILLO Y DEL PIE,127,4878639.67,0.0027,96.1862,2297
TRASTORNOS DEL METABOLISMO DE LOS ÁCIDOS GRASOS,127,8319349.649999999,0.0027,96.1889,2298
TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA,127,22305431.29,0.0027,96.1916,2299
BRONQUITIS CRÓNICA SIMPLE,127,2080572.11,0.0027,96.1943,2300
"HEMORRAGIA INTRAENCEFÁLICA, INTRAVENTRICULAR",127,14827682.370000001,0.0027,96.197,2301
ENFERMEDAD CARDIACA HIPERTENSIVA,127,12994410.35,0.0027,96.1997,2302
DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES RENALES,126,11695548.39,0.0027,96.2024,2303
OTRAS PESQUISAS PRENATALES ESPECIFICAS,126,3103970.9299999997,0.0027,96.2051,2304
TRAUMATISMO DEL TENDÓN Y MÚSCULO EXTENSOR DEL PULGAR A NIVEL DE LA MUÑECA Y DE LA MANO,126,3448152.45,0.0027,96.2078,2305
OTROS TRASTORNOS DEL CARTÍLAGO ARTICULAR,126,8969839.88,0.0027,96.2105,2306
TORTÍCOLIS,126,1071454.95,0.0027,96.2132,2307
"DEFICIENCIA VISUAL SEVERA, MONOCULAR",126,1505880.01,0.0027,96.2159,2308
DISPLASIA VAGINAL LEVE,126,2980243.44,0.0027,96.2186,2309
"TRASTORNO DEL METABOLISMO DE LA BILIRRUBINA, NO ESPECIFICADO",126,3178467.56,0.0027,96.2213,2310
TRAUMATISMO DEL OJO Y DE LA ORBITA,126,1865672.81,0.0027,96.224,2311
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL CONDUCTO CRANEOFARÍNGEO,126,24459341.5,0.0027,96.2267,2312
"CAÍDA QUE IMPLICA CAMA, VIVIENDA",126,3755723.75,0.0027,96.2294,2313
OTROS TRASTORNOS DEL OJO Y SUS ANEXOS,126,2368836.08,0.0027,96.2321,2314
OTRAS ENFERMEDADES DE LA LENGUA,125,8571831.879999999,0.0027,96.2348,2315
"LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACIÓN",125,14891403.379999999,0.0027,96.2375,2316
UÑA ENCARNADA,125,1567546.89,0.0027,96.2402,2317
TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TÓRAX,125,19282993.64,0.0027,96.2429,2318
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES, PARTE NO ESPECIFICADA",125,42843282.34,0.0027,96.2456,2319
HERPES ZOSTER,125,3701406.52,0.0027,96.2483,2320
ENFERMEDAD DE CROHN [ENTERITIS REGIONAL],125,7710918.24,0.0027,96.251,2321
LUPUS ERITEMATOSO CUTÁNEO SUBAGUDO,124,5156673.9799999995,0.0026,96.2536,2322
BLEFAROCONJUNTIVITIS,124,547693.13,0.0026,96.2562,2323
NEUMONÍA CONGÉNITA DEBIDA A AGENTE VIRAL,124,12478082.94,0.0026,96.2588,2324
"DENGUE, NO ESPECIFICADO",124,4762498.95,0.0026,96.2614,2325
"QUEMADURAS DE MÚLTIPLES REGIONES, MENCIONADAS COMO DE NO MÁS DE SEGUNDO GRADO",124,8780119.8,0.0026,96.264,2326
"OTRAS DIABETES MELLITUS ESPECIFICADAS, CON COMPLICACIONES RENALES",124,7332768.92,0.0026,96.2666,2327
REUMATISMO PALINDRÓMICO,124,2257397.1,0.0026,96.2692,2328
ESTENOSIS MITRAL,124,15821941.85,0.0026,96.2718,2329
EXAMEN DE OÍDOS Y DE LA AUDICIÓN,124,273980.81,0.0026,96.2744,2330
RECTOCELE,123,5500777.63,0.0026,96.277,2331
TRAUMATISMOS SUPERFICIALES MÚLTIPLES DEL TÓRAX,123,8422229.15,0.0026,96.2796,2332
ANEMIAS POR DEFICIENCIA DE HIERRO,123,3139131.17,0.0026,96.2822,2333
"HEPATITIS AGUDA TIPO B, CON AGENTE DELTA (COINFECCIÓN), CON COMA HEPÁTICO",122,3331770.32,0.0026,96.2848,2334
"TUMOR BENIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA",122,21463343.55,0.0026,96.2874,2335
"SIDNROME DE DOWN, NO ESPECIFICADO",122,18536730.97,0.0026,96.29,2336
PANCREATITIS BILIAR AGUDA,122,14950422.36,0.0026,96.2926,2337
"OTRA COXARTROSIS SECUNDARIA, BILATERAL",122,5876436.43,0.0026,96.2952,2338
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL PERITONEO,121,13503789.81,0.0026,96.2978,2339
