causa_original,causa_corregida,tipo_correccion,similitud,frecuencia,anios,num_anios
CAMBIOS EN LAS MEMBRANAS DE LA CÓRNEA,CAMBIOS EN LAS MEMBRANAS DE LA CÓRNEA,sin_cambio,1.0,70,"2021,2022,2023,2024",4
NEUMONIA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS ESPECIFICADOS,NEUMONÍA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS ESPECIFICADOS,acento,0.99,70,2020,1
"ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE GLUTEOS","ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE GLUTEOS",sin_cambio,1.0,70,2020,1
MENINGITIS ESTAFILOCÓCICA,MENINGITIS ESTAFILOCÓCICA,sin_cambio,1.0,70,"2021,2022,2023,2024",4
OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO,OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO,sin_cambio,1.0,70,"2020,2021,2022,2023,2024",5
DISTROFIA HEREDITARIA DE LA RETINA,DISTROFIA HEREDITARIA DE LA RETINA,sin_cambio,1.0,70,"2020,2021,2022,2023,2024",5
RUPTURA TRAUMÁTICA DEL TÍMPANO DEL OÍDO,RUPTURA TRAUMÁTICA DEL TÍMPANO DEL OÍDO,sin_cambio,1.0,70,"2021,2022,2023,2024",4
VOLVULO,VÓLVULO,acento,0.99,70,2020,1
"OSTEOPOROSIS IDIOPATICA, SIN FRACTURA PATOLOGICA","OSTEOPOROSIS IDIOPÁTICA, SIN FRACTURA PATOLÓGICA",acento,0.99,70,2020,1
CUERPO EXTRAÐO EN LA BOCA,CUERPO EXTRAÑO EN LA BOCA,typo,0.96,70,2020,1
"TRASTORNOS DEL NERVIO ÓPTICO, NO CLASIFICADOS EN OTRA PARTE","TRASTORNOS DEL NERVIO ÓPTICO, NO CLASIFICADOS EN OTRA PARTE",sin_cambio,1.0,70,"2021,2022,2023,2024",4
OTROS TIPOS ESPECIFICADOS DE LINFOMA NO FOLICULAR,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO FOLICULAR,sin_cambio,1.0,70,"2021,2022,2023,2024",4
"OTRAS COMPLICACIONES DE DISPOSITIVOS PROTÉSICOS, IMPLANTES E INJERTOS ORTOPÉDICOS INTERNOS","OTRAS COMPLICACIONES DE DISPOSITIVOS PROTÉSICOS, IMPLANTES E INJERTOS ORTOPÉDICOS INTERNOS",sin_cambio,1.0,70,"2021,2022,2023,2024",4
INSUFICIENCIA HEPÁTICA CRÓNICA,INSUFICIENCIA HEPÁTICA CRÓNICA,sin_cambio,1.0,70,"2021,2022,2023,2024",4
FRACTURAS QUE AFECTAN MÚLTIPLES REGIONES DE UN MIEMBRO SUPERIOR,FRACTURAS QUE AFECTAN MÚLTIPLES REGIONES DE UN MIEMBRO SUPERIOR,sin_cambio,1.0,70,"2021,2022,2023,2024",4
LEUCEMIA MIELOIDE CRONICA,LEUCEMIA MIELOIDE CRONICA,sin_cambio,1.0,70,2020,1
HIDROCELE CONGÉNITO,HIDROCELE CONGÉNITO,sin_cambio,1.0,70,"2021,2022,2023,2024",4
EFECTO TÓXICO DEL VENENO DE SERPIENTE,EFECTO TÓXICO DEL VENENO DE SERPIENTE,sin_cambio,1.0,70,"2021,2022,2023,2024",4
OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO,OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO,sin_cambio,1.0,70,"2021,2022,2023,2024",4
CARCINOMA DE CELULAS HEPATICAS,CARCINOMA DE CÉLULAS HEPÁTICAS,acento,0.99,70,2020,1
OTRAS ENFERMEDADES DE LAS GLÁNDULAS SALIVALES,OTRAS ENFERMEDADES DE LAS GLÁNDULAS SALIVALES,sin_cambio,1.0,70,"2021,2022,2023,2024",4
OTRAS DERMATITIS,OTRAS DERMATITIS,sin_cambio,1.0,70,"2021,2022,2023,2024",4
HIPOTIROIDISMO DEBIDO A MEDICAMENTOS Y A OTRAS SUSTANCIAS EXÓGENAS,HIPOTIROIDISMO DEBIDO A MEDICAMENTOS Y A OTRAS SUSTANCIAS EXÓGENAS,sin_cambio,1.0,70,"2021,2022,2023,2024",4
"SACROILIITIS, NO CLASIFICADA EN OTRA PARTE","SACROILIÍTIS, NO CLASIFICADA EN OTRA PARTE",acento,0.99,70,2020,1
DEFICIENCIA DE OTRAS VITAMINAS,DEFICIENCIA DE OTRAS VITAMINAS,sin_cambio,1.0,70,"2020,2021,2022,2023,2024",5
HERIDA DE DEDO(S) DEL PIE SIN DANO DE LA(S) UNA(S),HERIDA DE DEDO(S) DEL PIE SIN DAÑO(S) DE LA(S) UÑA(S),typo,0.9709,70,2020,1
GOTA IDIOPATICA,GOTA IDIOPÁTICA,acento,0.99,69,2020,1
LESIÓN DEL NERVIO PLANTAR,LESIÓN DEL NERVIO PLANTAR,sin_cambio,1.0,69,"2021,2022,2023,2024",4
"TUMOR MALIGNO DE ORGANO GENITAL MASCULINO, PARTE NO ESPECIFICADA","TUMOR MALIGNO DE ÓRGANO GENITAL MASCULINO, PARTE NO ESPECIFICADA",acento,0.99,69,2020,1
"TRASTORNO QUE AFECTA AL MECANISMO DE LA INMUNIDAD, NO ESPECIFICADO","TRASTORNO QUE AFECTA AL MECANISMO DE LA INMUNIDAD, NO ESPECIFICADO",sin_cambio,1.0,69,"2020,2021,2022,2023,2024",5
OTROS TRASTORNOS ESPECIFICADOS DEL OÍDO MEDIO Y DE LA APÓFISIS MASTOIDES,OTROS TRASTORNOS ESPECIFICADOS DEL OÍDO MEDIO Y DE LA APÓFISIS MASTOIDES,sin_cambio,1.0,69,"2021,2022,2023,2024",4
LESIÓN DE SITIOS CONTIGUOS DE LA LENGUA,LESIÓN DE SITIOS CONTIGUOS DE LA LENGUA,sin_cambio,1.0,69,"2021,2022,2023,2024",4
OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO,OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO,sin_cambio,1.0,69,"2020,2021,2022,2023,2024",5
FÍSTULA DE LA VAGINA AL INTESTINO GRUESO,FÍSTULA DE LA VAGINA AL INTESTINO GRUESO,sin_cambio,1.0,69,"2021,2022,2023,2024",4
"QUEMADURA DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA","QUEMADURA DE SEGUNDO GRADO, REGIÓN DEL CUERPO NO ESPECIFICADA",acento,0.99,69,2020,1
TUMOR MALIGNO DEL CUELLO DE LA VEJIGA,TUMOR MALIGNO DEL CUELLO DE LA VEJIGA,sin_cambio,1.0,69,"2020,2021,2022,2023,2024",5
INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,sin_cambio,1.0,69,"2021,2022,2023,2024",4
"SÍNDROME NEFRÓTICO, LESIONES GLOMERULARES FOCALES Y SEGMENTARIAS","SÍNDROME NEFRÓTICO, LESIONES GLOMERULARES FOCALES Y SEGMENTARIAS",sin_cambio,1.0,69,"2021,2022,2023,2024",4
"TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO, NO ESPECIFICADO","TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO, NO ESPECIFICADO",sin_cambio,1.0,69,"2020,2021,2022,2023,2024",5
ATEROESCLEROSIS DE LA AORTA,ATEROESCLEROSIS DE LA AORTA,sin_cambio,1.0,69,2020,1
"ÚLCERA DUODENAL, AGUDA SIN HEMORRAGIA NI PERFORACIÓN","ÚLCERA DUODENAL, AGUDA SIN HEMORRAGIA NI PERFORACIÓN",sin_cambio,1.0,69,"2021,2022,2023,2024",4
OTRAS ARTROSIS SECUNDARIAS,OTRAS ARTROSIS SECUNDARIAS,sin_cambio,1.0,69,"2021,2022,2023,2024",4
TUMOR MALIGNO DE ÓRGANO URINARIO NO ESPECIFICADO,TUMOR MALIGNO DE ÓRGANO URINARIO NO ESPECIFICADO,sin_cambio,1.0,69,"2021,2022,2023,2024",4
PERICARDITIS IDIOPATICA AGUDA INESPECIFICA,PERICARDITIS IDIOPÁTICA AGUDA INESPECÍFICA,acento,0.99,69,2020,1
ABSCESO DE GLÁNDULA SALIVAL,ABSCESO DE GLÁNDULA SALIVAL,sin_cambio,1.0,68,"2021,2022,2023,2024",4
LESIÓN DEL NERVIO RADIAL,LESIÓN DEL NERVIO RADIAL,sin_cambio,1.0,68,"2021,2022,2023,2024",4
TUMOR MALIGNO DEL PREPUCIO,TUMOR MALIGNO DEL PREPUCIO,sin_cambio,1.0,68,"2020,2021,2022,2024",4
"ENFERMEDAD DEL PÁNCREAS, NO ESPECIFICADA","ENFERMEDAD DEL PÁNCREAS, NO ESPECIFICADA",sin_cambio,1.0,68,"2021,2022,2023,2024",4
SÍNDROMES VERTIGINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,SÍNDROMES VERTIGINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,sin_cambio,1.0,68,"2021,2022,2023,2024",4
REFLUJO VÉSICO-URÉTERO-RENAL CONGÉNITO,REFLUJO VÉSICO-URÉTERO-RENAL CONGÉNITO,sin_cambio,1.0,68,"2021,2022,2023,2024",4
"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MÚLTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES)","LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MÚLTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES)",sin_cambio,1.0,68,"2021,2022,2023,2024",4
"TRAUMATISMO DE LOS NERVIOS Y DE LA MEDULA ESPINAL LUMBAR, A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS","TRAUMATISMO DE LOS NERVIOS Y DE LA MEDULA ESPINAL LUMBAR, A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS",sin_cambio,1.0,68,"2021,2022,2023,2024",4
OTROS TRASTORNOS ESPECIFICADOS DE LA TROMPA DE EUSTAQUIO,OTROS TRASTORNOS ESPECIFICADOS DE LA TROMPA DE EUSTAQUIO,sin_cambio,1.0,68,"2020,2021,2022,2023,2024",5
"ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE","ENCEFALITIS, MIELITIS Y ENCEFALOMIELITIS EN ENFERMEDADES VIRALES CLASIFICADAS EN OTRA PARTE",sin_cambio,1.0,68,"2020,2021,2022,2023,2024",5
"ARTROSIS PRIMARIA DE LA PRIMERA ARTICULACIÓN CARPOMETACARPIANA, BILATERAL","ARTROSIS PRIMARIA DE LA PRIMERA ARTICULACIÓN CARPOMETACARPIANA, BILATERAL",sin_cambio,1.0,68,"2021,2022,2023,2024",4
OTRAS APNEAS DEL RECIÉN NACIDO,OTRAS APNEAS DEL RECIÉN NACIDO,sin_cambio,1.0,68,"2021,2022,2023,2024",4
OTROS TRASTORNOS DEL GLOBO OCULAR,OTROS TRASTORNOS DEL GLOBO OCULAR,sin_cambio,1.0,68,"2020,2021,2022,2023,2024",5
AMIELIA,AMIELIA,sin_cambio,1.0,68,"2020,2021,2022,2023,2024",5
PROLAPSO (DE LA VÁLVULA) MITRAL,PROLAPSO (DE LA VÁLVULA) MITRAL,sin_cambio,1.0,68,"2021,2022,2023,2024",4
CONTROL GENERAL DE SALUD DE RUTINA DE SUBPOBLACIONES DEFINIDAS,CONTROL GENERAL DE SALUD DE RUTINA DE SUBPOBLACIONES DEFINIDAS,sin_cambio,1.0,68,"2021,2022,2023",3
ESTENOSIS ÓSEA DEL CANAL NEURAL,ESTENOSIS ÓSEA DEL CANAL NEURAL,sin_cambio,1.0,68,"2021,2022,2023,2024",4
"DIABETES MELLITUS TIPO 1, CON COMPLICACIONES NEUROLÓGICAS","DIABETES MELLITUS TIPO 1, CON COMPLICACIONES NEUROLÓGICAS",sin_cambio,1.0,68,"2021,2022,2023,2024",4
DONANTE DE RIÑÓN,DONANTE DE RIÑÓN,sin_cambio,1.0,68,"2021,2022,2023,2024",4
ABSCESO RETROFARINGEO Y PARAFARINGEO,ABSCESO RETROFARÍNGEO Y PARAFARÍNGEO,acento,0.99,68,2020,1
ENTERITIS DEBIDA A ADENOVIRUS,ENTERITIS DEBIDA A ADENOVIRUS,sin_cambio,1.0,68,"2020,2021,2022,2023,2024",5
OTRAS OSTEOCONDROPATIAS ESPECIFICADAS,OTRAS OSTEOCONDROPATÍAS ESPECIFICADAS,acento,0.99,68,2020,1
OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOÁCIDOS AROMÁTICOS,OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOÁCIDOS AROMÁTICOS,sin_cambio,1.0,68,"2021,2022,2023,2024",4
CONTUSION DE LOS PARPADOS Y DE LA REGION PERIOCULAR,CONTUSIÓN DE LOS PÁRPADOS Y DE LA REGIÓN PERIOCULAR,acento,0.99,68,2020,1
INSUFICIENCIA RESPIRATORIA DEL RECIÉN NACIDO,INSUFICIENCIA RESPIRATORIA DEL RECIÉN NACIDO,sin_cambio,1.0,67,"2021,2022,2023,2024",4
"HEPATITIS VIRAL TIPO B CRÓNICA, SIN AGENTE DELTA","HEPATITIS VIRAL TIPO B CRÓNICA, SIN AGENTE DELTA",sin_cambio,1.0,67,"2021,2022,2023,2024",4
"OTRAS COMPLICACIONES PUERPERALES, NO CLASIFICADAS EN OTRA PARTE","OTRAS COMPLICACIONES PUERPERALES, NO CLASIFICADAS EN OTRA PARTE",sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
"ENTESOPATÍA, NO ESPECIFICADA","ENTESOPATÍA, NO ESPECIFICADA",sin_cambio,1.0,67,"2021,2022,2023,2024",4
OTROS TRASTORNOS DE LA TIROIDES RELACIONADOS CON DEFICIENCIA DE YODO Y AFECCIONES SIMILARES,OTROS TRASTORNOS DE LA TIROIDES RELACIONADOS CON DEFICIENCIA DE YODO Y AFECCIONES SIMILARES,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
"CAÍDA QUE IMPLICA SILLA, VIVIENDA","CAÍDA QUE IMPLICA SILLA, VIVIENDA",sin_cambio,1.0,67,"2021,2022,2023,2024",4
"TRASTORNO DE LA GLÁNDULA PARATIROIDES, NO ESPECIFICADO","TRASTORNO DE LA GLÁNDULA PARATIROIDES, NO ESPECIFICADO",sin_cambio,1.0,67,"2021,2022,2023,2024",4
OTRAS ENFERMEDADES PELVICAS INFLAMATORIAS FEMENINAS,OTRAS ENFERMEDADES PELVICAS INFLAMATORIAS FEMENINAS,sin_cambio,1.0,67,"2021,2022,2023,2024",4
INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
"FRACTURA DE LAS COSTILLAS, DEL ESTERNON Y DE LA COLUMNA TORACICA [DORSAL]","FRACTURA DE LAS COSTILLAS, DEL ESTERNON Y DE LA COLUMNA TORACICA [DORSAL]",sin_cambio,1.0,67,"2021,2022,2023,2024",4
"TUMOR MALIGNO DE LA VÍAS RESPIRATORIA SUPERIORES, PARTE NO ESPECIFICADA","TUMOR MALIGNO DE LA VÍAS RESPIRATORIA SUPERIORES, PARTE NO ESPECIFICADA",sin_cambio,1.0,67,"2021,2022,2023,2024",4
TUMOR MALIGNO DEL MIEMBRO SUPERIOR,TUMOR MALIGNO DEL MIEMBRO SUPERIOR,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
TUMOR BENIGNO DEL RECTO,TUMOR BENIGNO DEL RECTO,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
OTROS CALCULOS DE LAS VIAS URINARIAS INFERIORES,OTROS CÁLCULOS DE LAS VÍAS URINARIAS INFERIORES,acento,0.99,67,2020,1
CUERPO EXTRAÐO EN EL ESOFAGO,CUERPO EXTRAÑO EN EL ESÓFAGO,typo,0.9643,67,2020,1
"NEUMONIA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS, NO CLASIFICADOS EN OTRA PARTE","NEUMONIA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS, NO CLASIFICADOS EN OTRA PARTE",sin_cambio,1.0,67,"2021,2022,2023,2024",4
OTROS TRAUMATISMOS DEL OJO Y DE LA ORBITA,OTROS TRAUMATISMOS DEL OJO Y DE LA ÓRBITA,acento,0.99,67,2020,1
OTRAS LEUCEMIAS ESPECIFICADAS,OTRAS LEUCEMIAS ESPECIFICADAS,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
TRASTORNOS DEL DESARROLLO DE LOS MAXILARES,TRASTORNOS DEL DESARROLLO DE LOS MAXILARES,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
NEUMONIA DEBIDA A STREPTOCOCCUS PNEUMONIAE,NEUMONÍA DEBIDA A STREPTOCOCCUS PNEUMONIAE,acento,0.99,67,2020,1
NEURITIS OPTICA,NEURITIS ÓPTICA,acento,0.99,67,2020,1
"TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO","TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
OBSERVACION POR SOSPECHA DE OTRAS ENFERMEDADES Y A,OBSERVACIÓN POR SOSPECHA DE OTRAS ENFERMEDADES Y AFECCIONES,typo,0.9174,67,2020,1
LUXACION RECIDIVANTE DE LA ROTULA,LUXACIÓN RECIDIVANTE DE LA RÓTULA,acento,0.99,67,2020,1
TUMOR BENIGNO DE LA CONJUNTIVA,TUMOR BENIGNO DE LA CONJUNTIVA,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
TUMOR MALIGNO DEL TIMO,TUMOR MALIGNO DEL TIMO,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
DOLOR PÉLVICO Y PERINEAL,DOLOR PÉLVICO Y PERINEAL,sin_cambio,1.0,67,"2021,2022,2023,2024",4
"MIOPATÍA, NO ESPECIFICADA","MIOPATÍA, NO ESPECIFICADA",sin_cambio,1.0,67,"2021,2022,2023,2024",4
MIOSITIS INFECCIOSA,MIOSITIS INFECCIOSA,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
LEUCOPLASTIA DEL PENE,LEUCOPLASTIA DEL PENE,sin_cambio,1.0,67,2020,1
TRAUMATISMO DE TENDÓN Y MÚSCULO DEL GRUPO MUSCULAR POSTERIOR A NIVEL DEL MUSLO,TRAUMATISMO DE TENDÓN Y MÚSCULO DEL GRUPO MUSCULAR POSTERIOR A NIVEL DEL MUSLO,sin_cambio,1.0,67,"2021,2022,2023,2024",4
"GLAUCOMA EN ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS CLASIFICADAS EN OTRA PARTE","GLAUCOMA EN ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS CLASIFICADAS EN OTRA PARTE",sin_cambio,1.0,67,"2021,2022,2023,2024",4
TUMOR MALIGNO DE LA FOSA AMIGDALINA,TUMOR MALIGNO DE LA FOSA AMIGDALINA,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
OTRAS ENFERMEDADES ESPECIFICADAS DEL ESOFAGO,OTRAS ENFERMEDADES ESPECIFICADAS DEL ESÓFAGO,acento,0.99,67,2020,1
HEMANGIOMA Y LINFANGIOMA DE CUALQUIER SITIO,HEMANGIOMA Y LINFANGIOMA DE CUALQUIER SITIO,sin_cambio,1.0,67,"2021,2022,2023,2024",4
DEFICIENCIA HEREDITARIA DEL FACTOR VIII,DEFICIENCIA HEREDITARIA DEL FACTOR VIII,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
"OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACIÓN","OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,67,"2021,2022,2023,2024",4
TUMOR MALIGNO DE LA COROIDES,TUMOR MALIGNO DE LA COROIDES,sin_cambio,1.0,67,"2020,2021,2022,2023,2024",5
PÉNFIGO VULGAR,PÉNFIGO VULGAR,sin_cambio,1.0,66,"2021,2022,2023,2024",4
"SÍNDROME NEFRÓTICO, GLOMERULONEFRITIS PROLIFERATIVA MESANGIAL DIFUSA","SÍNDROME NEFRÓTICO, GLOMERULONEFRITIS PROLIFERATIVA MESANGIAL DIFUSA",sin_cambio,1.0,66,"2021,2022,2023,2024",4
PROBLEMAS NO ESPECIFICADOS RELACIONADOS CON DIFICULTADES CON EL MODO DE VIDA,PROBLEMAS NO ESPECIFICADOS RELACIONADOS CON DIFICULTADES CON EL MODO DE VIDA,sin_cambio,1.0,66,"2021,2022,2023",3
OTRAS MALFORMACIONES CONGÉNITAS ESPECIFICADAS DE LA MÉDULA ESPINAL,OTRAS MALFORMACIONES CONGÉNITAS ESPECIFICADAS DE LA MÉDULA ESPINAL,sin_cambio,1.0,66,"2021,2022,2023,2024",4
TRASTORNOS DE LA ROTULA,TRASTORNOS DE LA ROTULA,sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
OTRAS ENFERMEDADES DE LA VÁLVULA MITRAL,OTRAS ENFERMEDADES DE LA VÁLVULA MITRAL,sin_cambio,1.0,66,"2021,2022,2023,2024",4
OTRAS ENFERMEDADES DE LAS VIAS BILIARES,OTRAS ENFERMEDADES DE LAS VIAS BILIARES,sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE GLANDULA ENDOCRINA NO ESPECIFICADA,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE GLÁNDULA ENDOCRINA NO ESPECIFICADA,acento,0.99,66,2020,1
OTRAS MALFORMACIONES CONGÉNITAS DE LOS TABIQUES CARDÍACOS,OTRAS MALFORMACIONES CONGÉNITAS DE LOS TABIQUES CARDÍACOS,sin_cambio,1.0,66,"2021,2022,2023,2024",4
CALCULO DE LAS VIAS URINARIAS INFERIORES,CALCULO DE LAS VIAS URINARIAS INFERIORES,sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
"HIPOACUSIA CONDUCTIVA, SIN OTRA ESPECIFICACIÓN","HIPOACUSIA CONDUCTIVA, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,66,"2021,2022,2023,2024",4
INFECCIÓN DE OTRAS PARTES DE LAS VÍAS URINARIAS EN EL EMBARAZO,INFECCIÓN DE OTRAS PARTES DE LAS VÍAS URINARIAS EN EL EMBARAZO,sin_cambio,1.0,66,"2021,2022,2023,2024",4
OTRAS ENFERMEDADES DE LA FARINGE,OTRAS ENFERMEDADES DE LA FARINGE,sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
"ÚLCERA GASTROYEYUNAL, AGUDA CON HEMORRAGIA","ÚLCERA GASTROYEYUNAL, AGUDA CON HEMORRAGIA",sin_cambio,1.0,66,"2021,2022,2023,2024",4
"PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACIÓN","PARASITOSIS INTESTINAL, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,66,"2021,2022,2023,2024",4
REACCIÓN DE INCOMPATIBILIDAD AL GRUPO ABO,REACCIÓN DE INCOMPATIBILIDAD AL GRUPO ABO,sin_cambio,1.0,66,"2021,2022,2023,2024",4
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA CAVIDAD BUCAL Y DE LOS ORGANOS DIGESTIVOS,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA CAVIDAD BUCAL Y DE LOS ORGANOS DIGESTIVOS,sin_cambio,1.0,66,"2021,2022,2023,2024",4
"ENFERMEDAD POR VIH, RESULTANTE EN OTROS TIPOS DE LINFOMA NO HODGKIN","ENFERMEDAD POR VIH, RESULTANTE EN OTROS TIPOS DE LINFOMA NO HODGKIN",sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
"TRASTORNO DE ANSIEDAD, ORGÁNICO","TRASTORNO DE ANSIEDAD, ORGÁNICO",sin_cambio,1.0,66,"2021,2022,2023,2024",4
"FRACTURA DE LA PIERNA, INCLUSIVE EL TOBILLO","FRACTURA DE LA PIERNA, INCLUSIVE DEL TOBILLO",typo,0.9885,66,2020,1
VIRUS SINCICIAL RESPIRATORIO COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,VIRUS SINCICIAL RESPIRATORIO COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,sin_cambio,1.0,66,"2021,2022,2023,2024",4
"TRASTORNO DE LA VEJIGA, NO ESPECIFICADO","TRASTORNO DE LA VEJIGA, NO ESPECIFICADO",sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
OTROS TRASTORNOS DE LOS MUSCULOS,OTROS TRASTORNOS DE LOS MUSCULOS,sin_cambio,1.0,66,"2021,2022,2023,2024",4
DEFORMIDAD ADQUIRIDA DE COSTILLAS Y TÓRAX,DEFORMIDAD ADQUIRIDA DE COSTILLAS Y TÓRAX,sin_cambio,1.0,66,"2021,2022,2023,2024",4
TRAUMATISMO DEL TENDÓN Y MÚSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DEL ANTEBRAZO,TRAUMATISMO DEL TENDÓN Y MÚSCULO EXTENSOR DE OTRO(S) DEDO(S) A NIVEL DEL ANTEBRAZO,sin_cambio,1.0,66,"2021,2022,2023,2024",4
ENFERMEDAD TÓXICA DEL HÍGADO CON HEPATITIS AGUDA,ENFERMEDAD TÓXICA DEL HÍGADO CON HEPATITIS AGUDA,sin_cambio,1.0,66,"2021,2022,2023,2024",4
"ATROFIA MUSCULAR ESPINAL INFANTIL, TIPO I (WERDNIG-HOFFMAN)","ATROFIA MUSCULAR ESPINAL INFANTIL, TIPO I (WERDNIG-HOFFMAN)",sin_cambio,1.0,66,"2021,2022,2023,2024",4
"HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, CORTICAL","HEMORRAGIA INTRACEREBRAL EN HEMISFERIO, CORTICAL",sin_cambio,1.0,66,"2020,2021,2022,2023,2024",5
"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACIÓN","TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,66,"2021,2022,2023,2024",4
SÍNDROME DE PREEXCITACIÓN,SÍNDROME DE PREEXCITACIÓN,sin_cambio,1.0,65,"2021,2022,2023,2024",4
ESTENOSIS DE LA AORTA,ESTENOSIS DE LA AORTA,sin_cambio,1.0,65,"2020,2021,2022,2023,2024",5
NEUMOTÓRAX TRAUMÁTICO,NEUMOTÓRAX TRAUMÁTICO,sin_cambio,1.0,65,"2021,2022,2023,2024",4
NEVO MELANOCÍTICO DEL LABIO,NEVO MELANOCÍTICO DEL LABIO,sin_cambio,1.0,65,"2021,2022,2023,2024",4
"OCLUSIÓN VASCULAR RETINIANA, SIN OTRA ESPECIFICACIÓN","OCLUSIÓN VASCULAR RETINIANA, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,65,"2021,2022,2023,2024",4
CUERPO EXTRAÑO EN EL INTESTINO DELGADO,CUERPO EXTRAÑO EN EL INTESTINO DELGADO,sin_cambio,1.0,65,"2021,2022,2023,2024",4
OTRAS DIABETES MELLITUS ESPECIFICADAS SIN MENCION DE COMPLICACION,"OTRAS DIABETES MELLITUS ESPECIFICADAS, SIN MENCIÓN DE COMPLICACIÓN",typo,0.9924,65,2020,1
